"V1","V2","V3","V4","V5"
"","","Panel A: Events","",""
"","(1)","(2) (3)","(4)","(5)"
"Log civilian casualties","0.363∗∗∗","0.254∗∗∗ 0.351∗∗∗","0.274∗∗∗","0.313∗∗∗"
"","(0.082)","(0.079) (0.082)","(0.088)","(0.082)"
"Sanctions","","0.025∗∗∗","",""
"","","(0.004)","",""
"Log air alert in Ukraine","","0.064∗","",""
"","","(0.038)","",""
"Log air strike in Ukraine by Russia","","","0.134∗∗∗",""
"","","","(0.043)",""
"Log hospital attack in Ukraine by Russia","","","","0.110∗∗∗"
"","","","","(0.035)"
"R2","0.595","0.615 0.596","0.602","0.601"
"N","676","676 676","676","676"
"","","Panel B: Mentions","",""
"","(1)","(2) (3)","(4)","(5)"
"Log civilian casualties","0.298∗∗∗","0.327∗∗∗ 0.326∗∗∗","0.358∗∗∗","0.294∗∗∗"
"","(0.075)","(0.079) (0.079)","(0.081)","(0.075)"
"Log Ukrainian military mentions","0.461∗∗∗","","",""
"","(0.102)","","",""
"Log civilian violence mentions","","0.110∗∗∗","",""
"","","(0.033)","",""
"Log missile mentions","","0.110∗∗∗","",""
"","","(0.032)","",""
"Log deescalation mentions","","","0.116∗∗∗",""
"","","","(0.044)",""
"Log frontline mentions","","","","0.449∗∗∗"
"","","","","(0.091)"
"R2","0.610","0.601 0.601","0.598","0.613"
"N","675","675 675","675","675"
"Month FE","Yes","Yes Yes","Yes","Yes"
"Year FE","Yes","Yes Yes","Yes","Yes"
"Controls","Yes","Yes Yes","Yes","Yes"
